no_story,T1,no_span,no_bay,DI_cladire
6,0.55498,4,3,0.24868
11,1.0396,2,4,0.36433
7,0.95425,4,4,0.19831
6,0.77457,4,2,0.51433
11,1.4208,2,3,0.93549
5,0.63721,2,3,0.18123
10,1.2127,2,4,0.25439
7,0.75094,2,3,0.0
11,0.89299,3,5,1.1074
8,0.64489,5,3,2.1467
4,0.59549,5,3,0.31981
8,0.79599,5,3,1.2158
6,0.8658,3,4,0.39956
8,0.7987,4,2,0.5057
8,0.74958,5,4,0.16616
7,0.836,3,4,0.47258
4,0.64725,5,4,0.082405
9,0.75265,4,2,0.65336
6,0.65463,2,4,0.34102
4,0.74585,3,3,1.0786
9,0.63818,2,4,0.58216
9,0.73688,5,3,1.1562
11,1.3026,4,5,0.45636
4,0.76408,5,4,0.041784
8,0.75242,2,2,0.22816
6,0.54533,2,4,0.047541
7,0.84934,3,5,0.50335
12,1.0669,2,4,1.6127
5,0.71682,4,2,0.18394
7,0.61163,2,4,0.2264
12,1.0962,2,2,1.4011
10,1.1408,2,5,0.81957
5,0.60507,5,2,0.33492
7,0.78703,5,5,0.66975
12,1.3207,4,4,0.62775
5,0.88435,2,5,0.43302
9,1.1919,5,3,0.16547
12,0.85528,3,3,0.89432
11,1.0984,3,2,0.35526
5,0.52669,3,2,0.0
12,1.4691,4,2,1.2205
7,0.65197,4,5,0.41066
5,0.77287,5,3,0.17011
11,1.1988,5,2,0.56195
8,0.62507,5,3,0.21387
4,0.48709,2,4,0.2243
4,0.62573,4,2,0.057238
7,0.7334,2,2,0.14818
4,0.76397,2,3,0.18521
11,1.1176,4,3,0.60536
5,0.56124,2,4,0.022771
11,0.82907,3,2,0.29411
4,0.55871,2,5,0.20167
8,0.72783,4,4,0.75103
8,1.0042,5,2,0.55672
10,0.72207,2,5,0.18908
9,0.7759,2,3,1.1344
8,0.95781,3,2,0.26714
7,0.78677,4,2,0.31882
6,0.80305,2,3,0.28329
9,0.72453,5,2,0.26166
6,0.66012,2,3,0.35728
13,1.3425,3,2,0.90541
7,0.64926,4,5,0.36133
6,0.57029,5,3,0.16253
5,0.51691,2,3,0.17698
6,0.59729,2,2,0.20549
9,1.025,5,2,0.025812
13,1.0502,2,4,1.8128
10,0.94347,3,5,0.27213
8,0.64072,2,5,1.7491
11,1.025,2,4,0.78213
7,0.76706,3,4,0.38292
6,0.52226,5,2,0.28519
8,0.80696,3,5,0.27635
7,0.52706,3,2,0.12296
5,0.55954,4,3,0.43584
5,0.85239,2,4,0.034705
11,1.8403,4,3,0.16321
6,0.7012,5,4,0.44269
10,0.98204,3,5,0.36088
5,0.76746,3,3,0.22963
7,0.61005,3,5,0.31277
10,0.93265,4,5,0.63599
9,0.91865,3,3,0.61998
11,0.98888,2,3,0.76143
8,0.61125,4,4,0.075314
13,1.2363,3,4,0.30834
8,0.90499,4,5,0.40123
5,0.53544,5,4,0.116
4,0.59451,5,5,0.3715
9,0.95746,2,2,0.38948
11,1.2729,4,3,1.4833
9,1.0737,5,3,1.1392
5,0.74203,3,3,1.2256
12,1.0857,3,3,1.4543
6,0.72693,3,5,0.15601
7,0.75165,2,3,0.66758
10,1.205,2,4,0.31167
10,0.88317,4,4,0.40119
12,1.1534,3,4,0.52371
9,0.97139,2,4,0.32424
8,0.81647,2,3,0.19624
11,0.97702,3,5,0.38364
6,0.74642,5,3,0.0
4,0.70092,3,3,0.52419
9,0.76108,2,2,0.41022
7,0.71053,3,4,0.22271
5,0.61822,3,3,0.21245
7,0.97822,2,5,0.38914
8,0.78428,2,4,0.17054
7,0.62082,5,5,0.0
10,1.0135,2,4,0.058174
6,0.67718,3,5,0.14437
4,0.71037,3,5,0.28141
8,0.7633,4,2,0.51826
6,0.63243,5,5,0.32271
11,1.0359,4,3,0.051323
4,0.63151,4,5,0.0
7,0.55596,4,4,0.55617
10,0.86144,3,3,0.44364
7,0.74688,3,5,0.28857
12,1.412,3,3,0.83734
5,0.84052,3,5,0.13732
5,0.74573,5,2,0.2242
10,0.83871,2,4,1.1433
4,0.50822,4,2,0.18065
8,0.82732,3,2,0.12971
13,1.632,4,4,0.28522
13,1.1511,2,3,0.53725
7,0.76434,2,2,0.52066
4,0.71126,5,2,0.045446
5,0.88436,2,5,0.48602
6,0.53311,3,4,0.64343
8,0.7125,4,2,0.49235
7,0.66693,4,4,0.92047
6,0.63897,4,5,0.8779
11,1.0237,5,4,0.48507
12,1.1113,4,2,1.2153
11,1.2049,4,5,0.4642
13,1.4615,2,2,0.76733
13,1.6968,5,3,0.43003
11,1.0183,3,3,0.4393
5,0.75202,4,5,0.24591
13,1.3989,2,2,0.41231
10,0.76259,3,5,1.0261
6,0.77516,4,3,1.8291
13,1.4902,3,3,0.51624
12,0.94475,4,5,1.3261
12,1.424,5,2,0.7029
7,0.80034,3,2,0.036668
11,0.82784,4,3,0.13891
13,1.6654,3,5,1.1057
4,0.68551,2,5,0.2428
13,1.7589,5,4,0.39989
5,0.67699,5,3,0.11013
5,0.56668,2,2,1.0342
7,0.63767,5,5,0.47077
5,0.69025,3,3,0.20389
13,1.1017,4,4,1.0849
7,0.65267,3,5,0.25591
8,0.80024,4,5,0.21413
13,1.5915,4,2,2.3704
5,0.6048,4,2,0.094492
9,0.9208,3,2,0.18602
12,1.0967,4,4,0.91986
8,0.81314,5,4,0.39137
4,0.69966,3,3,0.49512
6,0.55302,3,4,0.11018
8,0.75983,3,3,1.3148
9,0.74579,5,4,0.27803
7,0.93245,5,3,0.48132
8,0.6739,5,2,1.2534
13,1.9249,3,3,0.58197
5,0.57458,4,2,1.632
6,0.63975,3,4,2.3894
5,0.53066,4,4,0.81603
