no_story,no_story_2,T1,no_span,no_bay,no_span_2,no_bay_2,DI_cladire
5,3,0.72044,4,2,1,2,0.092734
10,8,0.92849,4,5,3,3,0.93832
8,4,1.2112,2,5,1,1,0.61628
6,2,0.52457,4,2,3,1,0.10582
8,4,0.84306,3,4,1,1,0.31586
5,3,0.4972,2,3,1,3,0.07753
10,2,1.0373,4,5,1,1,0.2266
11,7,1.2456,4,3,1,5,1.3904
13,7,1.2121,2,3,1,1,0.050074
9,5,0.87638,5,4,2,2,0.29186
9,4,0.81297,5,2,1,5,0.34849
8,5,0.88736,2,2,1,1,0.49138
4,2,0.72055,4,2,3,5,0.14171
10,4,0.92146,5,2,4,2,0.047193
5,2,0.53387,4,2,3,5,0.29369
10,4,1.0179,3,3,1,4,0.053931
6,3,0.66646,2,5,1,2,0.0
6,4,0.63412,5,2,3,3,0.51945
12,2,1.1803,4,4,2,2,0.43308
12,3,0.98404,4,2,3,4,0.1674
9,2,1.1904,2,5,1,2,0.49028
12,3,1.538,3,3,2,1,0.50241
7,4,0.5637,5,4,4,5,0.039214
8,6,0.90141,3,5,2,2,0.45312
10,4,0.74551,2,3,1,5,2.0134
10,5,0.84413,3,2,1,4,0.33504
11,5,0.8642,2,5,1,5,0.56231
5,2,0.4282,3,5,2,4,0.70823
9,7,0.77534,5,4,3,2,0.85308
13,5,0.96378,2,2,1,4,0.21866
13,10,1.0111,2,5,1,2,1.6439
8,2,0.95717,3,2,2,1,0.35227
4,2,0.78764,3,4,2,4,0.0
5,2,0.67266,3,2,1,2,0.30047
6,3,0.789,2,5,1,2,0.068017
8,4,0.7207,5,2,3,5,1.5366
9,5,0.99215,5,2,3,1,0.18542
5,2,0.80236,4,3,3,5,0.13957
9,7,0.70732,4,3,3,4,0.77507
6,4,0.65397,5,4,3,3,0.23756
13,11,0.93537,4,4,2,5,1.1116
13,11,1.0684,2,5,1,1,0.62366
13,6,1.2181,4,3,2,5,0.31202
6,3,0.6885,3,3,2,5,0.0
9,4,0.97645,2,5,1,1,0.34038
4,2,0.65986,4,2,3,5,0.14899
4,2,0.75486,5,4,4,5,0.043872
11,3,1.0629,5,4,2,3,0.026589
12,8,0.86982,5,3,3,1,0.57856
10,4,0.76467,2,4,1,3,0.93338
4,2,0.55394,3,4,2,4,0.52752
6,4,0.70908,2,3,1,5,0.29893
6,4,0.72489,3,4,1,4,0.4722
4,2,0.59481,3,2,1,5,0.43975
13,4,1.1448,5,4,2,1,2.0463
8,4,0.69667,5,5,3,3,0.37472
4,2,0.67889,5,2,1,1,2.4008
9,7,0.74836,2,3,1,5,0.47358
8,2,0.5811,5,5,4,5,0.35339
9,3,0.75601,2,2,1,2,0.11015
6,4,0.71764,2,4,1,2,0.1314
5,2,0.81038,3,4,1,3,0.56161
4,2,0.54689,3,2,1,5,0.34416
13,6,0.93859,3,2,2,3,0.91867
11,4,0.97571,4,2,3,5,0.13107
5,3,0.44782,5,3,1,3,0.48572
12,2,1.4994,3,5,2,5,0.41859
13,9,1.1595,4,2,2,1,0.96839
4,2,0.65429,5,3,3,3,0.52273
7,4,0.64341,3,3,1,4,0.3644
11,3,1.2975,5,4,2,5,1.0318
6,2,0.62809,4,4,1,4,0.66779
11,6,1.0957,5,2,3,3,0.79724
4,2,0.79754,5,2,3,3,0.41463
10,4,0.85449,4,4,3,3,0.98048
11,5,1.0809,4,5,3,2,0.65608
9,2,0.84841,2,2,1,3,0.66407
4,2,0.66517,3,4,2,5,0.0
5,3,0.79811,3,4,1,4,0.27622
13,2,1.6915,5,3,2,1,0.62385
6,4,0.51108,3,5,2,1,0.12043
6,2,0.70483,3,2,1,5,0.53831
13,4,1.4197,3,2,1,2,0.69035
13,6,1.5149,3,5,2,3,1.0853
5,3,0.56937,2,5,1,3,0.57352
8,4,0.668,5,2,1,1,0.45672
13,5,1.2876,5,5,1,1,0.39325
